"","RSD"
"X78.02055",0.295777
"X452.00345",0.225407
"X138.96337",0.16973
"X73.53838",0.09522
"X385.12885",0.085838
"X237.02815",0.180059
"X222.02744",0.182308
"X399.33298",0.091758
"X394.23541",0.084879
"X446.13947",0.140946
"X428.03716",0.080604
"X207.01423",0.064876
"X210.06077",0.193576
"X397.06669",0.144036
"X315.03262",0.10764
"X174.08419",0.171077
"X438.14243",0.118301
"X161.0295",0.109109
"X173.98804",0.152623
"X133.07219",0.192373
"X407.14259",0.134721
"X451.97517",0.091352
"X167.02071",0.054952
"X500.2254",0.297019
"X133.06077",0.07752
"X314.17101",0.131057
"X257.13382",0.227757
"X553.32542",0.267261
"X423.97225",0.185451
"X170.0326",0.105842
"X211.10945",0.155148
"X203.05255",0.062835
"X170.06172",0.065478
"X324.24879",0.099351
"X245.13234",0.227827
"X102.09132",0.189955
"X474.32861",0.129464
"X263.13186",0.065644
"X402.31166",0.291509
"X386.21715",0.433015
"X228.99584",0.131136
"X470.9348",0.115091
"X242.07889",0.085214
"X370.19102",0.386702
"X336.94224",0.06818
"X174.9828",0.121818
"X136.0474",0.120782
"X144.10058",0.083922
